#group,false,false,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,
,result,table,_time,_value,_field,_measurement,company
,,0,2015-04-09T16:00:00Z,41.25,open,Stock_Price,Microsoft
,,0,2015-04-09T16:00:00Z,41.25,low,Stock_Price,Microsoft
,,0,2015-04-10T16:00:00Z,41.63,open,Stock_Price,Microsoft
,,0,2015-04-10T16:00:00Z,41.41,low,Stock_Price,Microsoft
,,0,2015-04-10T16:00:00Z,41.72,close,Stock_Price,Microsoft
,,0,2015-04-10T16:00:00Z,41.95,high,Stock_Price,Microsoft
,,0,2015-04-10T16:00:00Z,28022002.0,volume,Stock_Price,Microsoft
,,0,2015-04-13T16:00:00Z,41.39,low,Stock_Price,Microsoft
,,0,2015-04-13T16:00:00Z,41.76,close,Stock_Price,Microsoft
,,0,2015-04-13T16:00:00Z,30276692.0,volume,Stock_Price,Microsoft
,,0,2015-04-13T16:00:00Z,41.4,open,Stock_Price,Microsoft
,,0,2015-04-13T16:00:00Z,42.06,high,Stock_Price,Microsoft
,,0,2015-04-14T16:00:00Z,41.8,open,Stock_Price,Microsoft
,,0,2015-04-14T16:00:00Z,41.65,close,Stock_Price,Microsoft
,,0,2015-04-14T16:00:00Z,24244382.0,volume,Stock_Price,Microsoft
,,0,2015-04-14T16:00:00Z,41.39,low,Stock_Price,Microsoft
,,0,2015-04-14T16:00:00Z,42.03,high,Stock_Price,Microsoft
,,0,2015-04-15T16:00:00Z,42.26,close,Stock_Price,Microsoft
,,0,2015-04-15T16:00:00Z,41.76,open,Stock_Price,Microsoft
,,0,2015-04-15T16:00:00Z,27343581.0,volume,Stock_Price,Microsoft
,,0,2015-04-15T16:00:00Z,41.68,low,Stock_Price,Microsoft
,,0,2015-04-15T16:00:00Z,42.46,high,Stock_Price,Microsoft
,,0,2015-04-16T16:00:00Z,42.34,high,Stock_Price,Microsoft
,,0,2015-04-16T16:00:00Z,22509652.0,volume,Stock_Price,Microsoft
,,0,2015-04-16T16:00:00Z,42.16,close,Stock_Price,Microsoft
,,0,2015-04-16T16:00:00Z,41.95,open,Stock_Price,Microsoft
,,0,2015-04-16T16:00:00Z,41.82,low,Stock_Price,Microsoft
,,0,2015-04-17T16:00:00Z,41.16,low,Stock_Price,Microsoft
,,0,2015-04-17T16:00:00Z,41.62,close,Stock_Price,Microsoft
,,0,2015-04-17T16:00:00Z,41.74,high,Stock_Price,Microsoft
,,0,2015-04-17T16:00:00Z,41.67,open,Stock_Price,Microsoft
,,0,2015-04-17T16:00:00Z,42387608.0,volume,Stock_Price,Microsoft
,,0,2015-04-20T16:00:00Z,41.68,low,Stock_Price,Microsoft
,,0,2015-04-20T16:00:00Z,42.91,close,Stock_Price,Microsoft
,,0,2015-04-20T16:00:00Z,43.17,high,Stock_Price,Microsoft
,,0,2015-04-20T16:00:00Z,41.73,open,Stock_Price,Microsoft
,,0,2015-04-20T16:00:00Z,46057733.0,volume,Stock_Price,Microsoft
,,0,2015-04-21T16:00:00Z,43.15,high,Stock_Price,Microsoft
,,0,2015-04-21T16:00:00Z,43.0,open,Stock_Price,Microsoft
,,0,2015-04-21T16:00:00Z,26013844.0,volume,Stock_Price,Microsoft
,,0,2015-04-21T16:00:00Z,42.53,low,Stock_Price,Microsoft
,,0,2015-04-21T16:00:00Z,42.64,close,Stock_Price,Microsoft
,,0,2015-04-22T16:00:00Z,42.67,open,Stock_Price,Microsoft
,,0,2015-04-22T16:00:00Z,42.99,close,Stock_Price,Microsoft
,,0,2015-04-22T16:00:00Z,42.55,low,Stock_Price,Microsoft
,,0,2015-04-22T16:00:00Z,43.13,high,Stock_Price,Microsoft
,,0,2015-04-22T16:00:00Z,25064273.0,volume,Stock_Price,Microsoft
,,0,2015-04-23T16:00:00Z,43.34,close,Stock_Price,Microsoft
,,0,2015-04-23T16:00:00Z,42.85,open,Stock_Price,Microsoft
,,0,2015-04-23T16:00:00Z,42.8,low,Stock_Price,Microsoft
,,0,2015-04-23T16:00:00Z,43.61,high,Stock_Price,Microsoft
,,0,2015-04-23T16:00:00Z,46309530.0,volume,Stock_Price,Microsoft
,,0,2015-04-24T16:00:00Z,130933665.0,volume,Stock_Price,Microsoft
,,0,2015-04-24T16:00:00Z,45.66,open,Stock_Price,Microsoft
,,0,2015-04-24T16:00:00Z,45.65,low,Stock_Price,Microsoft
,,0,2015-04-24T16:00:00Z,48.14,high,Stock_Price,Microsoft
,,0,2015-04-24T16:00:00Z,47.87,close,Stock_Price,Microsoft
,,0,2015-04-27T16:00:00Z,59248172.0,volume,Stock_Price,Microsoft
,,0,2015-04-27T16:00:00Z,48.13,high,Stock_Price,Microsoft
,,0,2015-04-27T16:00:00Z,47.23,open,Stock_Price,Microsoft
,,0,2015-04-27T16:00:00Z,47.22,low,Stock_Price,Microsoft
,,0,2015-04-27T16:00:00Z,48.03,close,Stock_Price,Microsoft
,,0,2015-04-28T16:00:00Z,47.78,open,Stock_Price,Microsoft
,,0,2015-04-28T16:00:00Z,49.16,close,Stock_Price,Microsoft
,,0,2015-04-28T16:00:00Z,49.21,high,Stock_Price,Microsoft
,,0,2015-04-28T16:00:00Z,47.7,low,Stock_Price,Microsoft
,,0,2015-04-28T16:00:00Z,60730778.0,volume,Stock_Price,Microsoft
,,0,2015-04-29T16:00:00Z,48.72,open,Stock_Price,Microsoft
,,0,2015-04-29T16:00:00Z,47804562.0,volume,Stock_Price,Microsoft
,,0,2015-04-29T16:00:00Z,49.06,close,Stock_Price,Microsoft
,,0,2015-04-29T16:00:00Z,49.31,high,Stock_Price,Microsoft
,,0,2015-04-29T16:00:00Z,48.5,low,Stock_Price,Microsoft
,,0,2015-04-30T16:00:00Z,49.54,high,Stock_Price,Microsoft
,,0,2015-04-30T16:00:00Z,48.6,low,Stock_Price,Microsoft
,,0,2015-04-30T16:00:00Z,48.64,close,Stock_Price,Microsoft
,,0,2015-04-30T16:00:00Z,64725457.0,volume,Stock_Price,Microsoft
,,0,2015-04-30T16:00:00Z,48.7,open,Stock_Price,Microsoft
,,0,2015-05-01T16:00:00Z,48.58,open,Stock_Price,Microsoft
,,0,2015-05-01T16:00:00Z,48.88,high,Stock_Price,Microsoft
,,0,2015-05-01T16:00:00Z,48.66,close,Stock_Price,Microsoft
,,0,2015-05-01T16:00:00Z,38937336.0,volume,Stock_Price,Microsoft
,,0,2015-05-01T16:00:00Z,48.4,low,Stock_Price,Microsoft
,,0,2015-05-04T16:00:00Z,48.18,low,Stock_Price,Microsoft
,,0,2015-05-04T16:00:00Z,48.24,close,Stock_Price,Microsoft
,,0,2015-05-04T16:00:00Z,48.87,high,Stock_Price,Microsoft
,,0,2015-05-04T16:00:00Z,34039485.0,volume,Stock_Price,Microsoft
,,0,2015-05-04T16:00:00Z,48.37,open,Stock_Price,Microsoft
,,0,2015-05-05T16:00:00Z,50369191.0,volume,Stock_Price,Microsoft
,,0,2015-05-05T16:00:00Z,48.16,high,Stock_Price,Microsoft
,,0,2015-05-05T16:00:00Z,47.6,close,Stock_Price,Microsoft
,,0,2015-05-05T16:00:00Z,47.82,open,Stock_Price,Microsoft
,,0,2015-05-05T16:00:00Z,47.31,low,Stock_Price,Microsoft
,,0,2015-05-06T16:00:00Z,52433020.0,volume,Stock_Price,Microsoft
,,0,2015-05-06T16:00:00Z,47.77,high,Stock_Price,Microsoft
,,0,2015-05-06T16:00:00Z,46.28,close,Stock_Price,Microsoft
,,0,2015-05-06T16:00:00Z,47.57,open,Stock_Price,Microsoft
,,0,2015-05-06T16:00:00Z,46.02,low,Stock_Price,Microsoft
,,0,2015-05-07T16:00:00Z,32971654.0,volume,Stock_Price,Microsoft
,,0,2015-05-07T16:00:00Z,46.7,close,Stock_Price,Microsoft
,,0,2015-05-07T16:00:00Z,46.16,low,Stock_Price,Microsoft
,,0,2015-05-07T16:00:00Z,46.27,open,Stock_Price,Microsoft
,,0,2015-05-07T16:00:00Z,47.09,high,Stock_Price,Microsoft
,,0,2015-05-08T16:00:00Z,47.55,open,Stock_Price,Microsoft
,,0,2015-05-08T16:00:00Z,47.52,low,Stock_Price,Microsoft
,,0,2015-05-08T16:00:00Z,47.98,high,Stock_Price,Microsoft
,,0,2015-05-08T16:00:00Z,35364911.0,volume,Stock_Price,Microsoft
,,0,2015-05-08T16:00:00Z,47.75,close,Stock_Price,Microsoft
,,0,2015-05-11T16:00:00Z,24609416.0,volume,Stock_Price,Microsoft
,,0,2015-05-11T16:00:00Z,47.55,open,Stock_Price,Microsoft
,,0,2015-05-11T16:00:00Z,47.37,close,Stock_Price,Microsoft
,,0,2015-05-11T16:00:00Z,47.91,high,Stock_Price,Microsoft
,,0,2015-05-11T16:00:00Z,47.37,low,Stock_Price,Microsoft
,,0,2015-05-12T16:00:00Z,47.35,close,Stock_Price,Microsoft
,,0,2015-05-12T16:00:00Z,46.42,low,Stock_Price,Microsoft
,,0,2015-05-12T16:00:00Z,46.85,open,Stock_Price,Microsoft
,,0,2015-05-12T16:00:00Z,29928264.0,volume,Stock_Price,Microsoft
,,0,2015-05-12T16:00:00Z,47.68,high,Stock_Price,Microsoft
,,0,2015-05-13T16:00:00Z,47.63,close,Stock_Price,Microsoft
,,0,2015-05-13T16:00:00Z,34184613.0,volume,Stock_Price,Microsoft
,,0,2015-05-13T16:00:00Z,47.57,low,Stock_Price,Microsoft
,,0,2015-05-13T16:00:00Z,48.19,open,Stock_Price,Microsoft
,,0,2015-05-13T16:00:00Z,48.32,high,Stock_Price,Microsoft
,,0,2015-05-14T16:00:00Z,32980892.0,volume,Stock_Price,Microsoft
,,0,2015-05-14T16:00:00Z,48.03,open,Stock_Price,Microsoft
,,0,2015-05-14T16:00:00Z,48.72,close,Stock_Price,Microsoft
,,0,2015-05-14T16:00:00Z,48.03,low,Stock_Price,Microsoft
,,0,2015-05-14T16:00:00Z,48.82,high,Stock_Price,Microsoft
,,0,2015-05-15T16:00:00Z,48.05,low,Stock_Price,Microsoft
,,0,2015-05-15T16:00:00Z,28642694.0,volume,Stock_Price,Microsoft
,,0,2015-05-15T16:00:00Z,48.87,open,Stock_Price,Microsoft
,,0,2015-05-15T16:00:00Z,48.3,close,Stock_Price,Microsoft
,,0,2015-05-15T16:00:00Z,48.91,high,Stock_Price,Microsoft
,,0,2015-05-18T16:00:00Z,47.61,low,Stock_Price,Microsoft
,,0,2015-05-18T16:00:00Z,47.98,open,Stock_Price,Microsoft
,,0,2015-05-18T16:00:00Z,48.01,close,Stock_Price,Microsoft
,,0,2015-05-18T16:00:00Z,24136502.0,volume,Stock_Price,Microsoft
,,0,2015-05-18T16:00:00Z,48.22,high,Stock_Price,Microsoft
,,0,2015-05-19T16:00:00Z,47.18,low,Stock_Price,Microsoft
,,0,2015-05-19T16:00:00Z,47.62,open,Stock_Price,Microsoft
,,0,2015-05-19T16:00:00Z,28574813.0,volume,Stock_Price,Microsoft
,,0,2015-05-19T16:00:00Z,47.58,close,Stock_Price,Microsoft
,,0,2015-05-19T16:00:00Z,47.81,high,Stock_Price,Microsoft
,,0,2015-05-20T16:00:00Z,47.58,close,Stock_Price,Microsoft
,,0,2015-05-20T16:00:00Z,47.39,open,Stock_Price,Microsoft
,,0,2015-05-20T16:00:00Z,25047919.0,volume,Stock_Price,Microsoft
,,0,2015-05-20T16:00:00Z,47.93,high,Stock_Price,Microsoft
,,0,2015-05-20T16:00:00Z,47.27,low,Stock_Price,Microsoft
,,0,2015-05-21T16:00:00Z,47.28,open,Stock_Price,Microsoft
,,0,2015-05-21T16:00:00Z,47.6,high,Stock_Price,Microsoft
,,0,2015-05-21T16:00:00Z,47.01,low,Stock_Price,Microsoft
,,0,2015-05-21T16:00:00Z,47.42,close,Stock_Price,Microsoft
,,0,2015-05-21T16:00:00Z,22410698.0,volume,Stock_Price,Microsoft
,,0,2015-05-22T16:00:00Z,47.35,high,Stock_Price,Microsoft
,,0,2015-05-22T16:00:00Z,46.9,close,Stock_Price,Microsoft
,,0,2015-05-22T16:00:00Z,46.82,low,Stock_Price,Microsoft
,,0,2015-05-22T16:00:00Z,25720583.0,volume,Stock_Price,Microsoft
,,0,2015-05-22T16:00:00Z,47.3,open,Stock_Price,Microsoft
,,0,2015-05-26T16:00:00Z,29581860.0,volume,Stock_Price,Microsoft
,,0,2015-05-26T16:00:00Z,46.83,open,Stock_Price,Microsoft
,,0,2015-05-26T16:00:00Z,46.88,high,Stock_Price,Microsoft
,,0,2015-05-26T16:00:00Z,46.59,close,Stock_Price,Microsoft
,,0,2015-05-26T16:00:00Z,46.19,low,Stock_Price,Microsoft
,,0,2015-05-27T16:00:00Z,46.62,low,Stock_Price,Microsoft
,,0,2015-05-27T16:00:00Z,47.61,close,Stock_Price,Microsoft
,,0,2015-05-27T16:00:00Z,27335639.0,volume,Stock_Price,Microsoft
,,0,2015-05-27T16:00:00Z,47.77,high,Stock_Price,Microsoft
,,0,2015-05-27T16:00:00Z,46.82,open,Stock_Price,Microsoft
,,0,2015-05-28T16:00:00Z,47.45,close,Stock_Price,Microsoft
,,0,2015-05-28T16:00:00Z,19283666.0,volume,Stock_Price,Microsoft
,,0,2015-05-28T16:00:00Z,48.02,high,Stock_Price,Microsoft
,,0,2015-05-28T16:00:00Z,47.39,low,Stock_Price,Microsoft
,,0,2015-05-28T16:00:00Z,47.5,open,Stock_Price,Microsoft
,,0,2015-05-29T16:00:00Z,46.59,low,Stock_Price,Microsoft
,,0,2015-05-29T16:00:00Z,47.57,high,Stock_Price,Microsoft
,,0,2015-05-29T16:00:00Z,46.86,close,Stock_Price,Microsoft
,,0,2015-05-29T16:00:00Z,36519594.0,volume,Stock_Price,Microsoft
,,0,2015-05-29T16:00:00Z,47.43,open,Stock_Price,Microsoft
,,0,2015-06-01T16:00:00Z,47.77,high,Stock_Price,Microsoft
,,0,2015-06-01T16:00:00Z,46.62,low,Stock_Price,Microsoft
,,0,2015-06-01T16:00:00Z,28837332.0,volume,Stock_Price,Microsoft
,,0,2015-06-01T16:00:00Z,47.23,close,Stock_Price,Microsoft
,,0,2015-06-01T16:00:00Z,47.06,open,Stock_Price,Microsoft
,,0,2015-06-02T16:00:00Z,46.62,low,Stock_Price,Microsoft
,,0,2015-06-02T16:00:00Z,21498326.0,volume,Stock_Price,Microsoft
,,0,2015-06-02T16:00:00Z,47.35,high,Stock_Price,Microsoft
,,0,2015-06-02T16:00:00Z,46.92,close,Stock_Price,Microsoft
,,0,2015-06-02T16:00:00Z,46.95,open,Stock_Price,Microsoft
,,0,2015-06-03T16:00:00Z,28002154.0,volume,Stock_Price,Microsoft
,,0,2015-06-03T16:00:00Z,46.85,close,Stock_Price,Microsoft
,,0,2015-06-03T16:00:00Z,47.37,open,Stock_Price,Microsoft
,,0,2015-06-03T16:00:00Z,47.74,high,Stock_Price,Microsoft
,,0,2015-06-03T16:00:00Z,46.82,low,Stock_Price,Microsoft
,,0,2015-06-04T16:00:00Z,27745512.0,volume,Stock_Price,Microsoft
,,0,2015-06-04T16:00:00Z,46.36,close,Stock_Price,Microsoft
,,0,2015-06-04T16:00:00Z,46.79,open,Stock_Price,Microsoft
,,0,2015-06-04T16:00:00Z,47.16,high,Stock_Price,Microsoft
,,0,2015-06-04T16:00:00Z,46.2,low,Stock_Price,Microsoft
,,0,2015-06-05T16:00:00Z,25438086.0,volume,Stock_Price,Microsoft
,,0,2015-06-05T16:00:00Z,46.31,open,Stock_Price,Microsoft
,,0,2015-06-05T16:00:00Z,46.52,high,Stock_Price,Microsoft
,,0,2015-06-05T16:00:00Z,45.84,low,Stock_Price,Microsoft
,,0,2015-06-05T16:00:00Z,46.14,close,Stock_Price,Microsoft
,,0,2015-06-08T16:00:00Z,46.43,high,Stock_Price,Microsoft
,,0,2015-06-08T16:00:00Z,22121634.0,volume,Stock_Price,Microsoft
,,0,2015-06-08T16:00:00Z,45.67,low,Stock_Price,Microsoft
,,0,2015-06-08T16:00:00Z,45.73,close,Stock_Price,Microsoft
,,0,2015-06-08T16:00:00Z,46.3,open,Stock_Price,Microsoft
,,0,2015-06-09T16:00:00Z,45.94,high,Stock_Price,Microsoft
,,0,2015-06-09T16:00:00Z,45.76,open,Stock_Price,Microsoft
,,0,2015-06-09T16:00:00Z,24406057.0,volume,Stock_Price,Microsoft
,,0,2015-06-09T16:00:00Z,45.46,low,Stock_Price,Microsoft
,,0,2015-06-09T16:00:00Z,45.65,close,Stock_Price,Microsoft
,,0,2015-06-10T16:00:00Z,45.79,open,Stock_Price,Microsoft
,,0,2015-06-10T16:00:00Z,45.69,low,Stock_Price,Microsoft
,,0,2015-06-10T16:00:00Z,28417405.0,volume,Stock_Price,Microsoft
,,0,2015-06-10T16:00:00Z,46.61,close,Stock_Price,Microsoft
,,0,2015-06-10T16:00:00Z,46.83,high,Stock_Price,Microsoft
,,0,2015-06-11T16:00:00Z,46.66,open,Stock_Price,Microsoft
,,0,2015-06-11T16:00:00Z,46.13,low,Stock_Price,Microsoft
,,0,2015-06-11T16:00:00Z,27347758.0,volume,Stock_Price,Microsoft
,,0,2015-06-11T16:00:00Z,46.44,close,Stock_Price,Microsoft
,,0,2015-06-11T16:00:00Z,46.92,high,Stock_Price,Microsoft
,,0,2015-06-12T16:00:00Z,23930972.0,volume,Stock_Price,Microsoft
,,0,2015-06-12T16:00:00Z,46.2,open,Stock_Price,Microsoft
,,0,2015-06-12T16:00:00Z,45.97,close,Stock_Price,Microsoft
,,0,2015-06-12T16:00:00Z,45.9,low,Stock_Price,Microsoft
,,0,2015-06-12T16:00:00Z,46.47,high,Stock_Price,Microsoft
,,0,2015-06-15T16:00:00Z,45.65,high,Stock_Price,Microsoft
,,0,2015-06-15T16:00:00Z,45.48,close,Stock_Price,Microsoft
,,0,2015-06-15T16:00:00Z,33254517.0,volume,Stock_Price,Microsoft
,,0,2015-06-15T16:00:00Z,45.45,open,Stock_Price,Microsoft
,,0,2015-06-15T16:00:00Z,45.02,low,Stock_Price,Microsoft
,,0,2015-06-16T16:00:00Z,45.83,close,Stock_Price,Microsoft
,,0,2015-06-16T16:00:00Z,27070306.0,volume,Stock_Price,Microsoft
,,0,2015-06-16T16:00:00Z,46.24,high,Stock_Price,Microsoft
,,0,2015-06-16T16:00:00Z,45.35,open,Stock_Price,Microsoft
,,0,2015-06-16T16:00:00Z,45.3,low,Stock_Price,Microsoft
,,0,2015-06-17T16:00:00Z,45.73,open,Stock_Price,Microsoft
,,0,2015-06-17T16:00:00Z,45.36,low,Stock_Price,Microsoft
,,0,2015-06-17T16:00:00Z,46.07,high,Stock_Price,Microsoft
,,0,2015-06-17T16:00:00Z,28704061.0,volume,Stock_Price,Microsoft
,,0,2015-06-17T16:00:00Z,45.97,close,Stock_Price,Microsoft
,,0,2015-06-18T16:00:00Z,46.8,high,Stock_Price,Microsoft
,,0,2015-06-18T16:00:00Z,46.22,open,Stock_Price,Microsoft
,,0,2015-06-18T16:00:00Z,32658343.0,volume,Stock_Price,Microsoft
,,0,2015-06-18T16:00:00Z,46.72,close,Stock_Price,Microsoft
,,0,2015-06-18T16:00:00Z,46.17,low,Stock_Price,Microsoft
,,0,2015-06-19T16:00:00Z,46.83,high,Stock_Price,Microsoft
,,0,2015-06-19T16:00:00Z,46.1,close,Stock_Price,Microsoft
,,0,2015-06-19T16:00:00Z,46.79,open,Stock_Price,Microsoft
,,0,2015-06-19T16:00:00Z,45.99,low,Stock_Price,Microsoft
,,0,2015-06-19T16:00:00Z,63837036.0,volume,Stock_Price,Microsoft
,,0,2015-06-22T16:00:00Z,46.33,open,Stock_Price,Microsoft
,,0,2015-06-22T16:00:00Z,20318055.0,volume,Stock_Price,Microsoft
,,0,2015-06-22T16:00:00Z,46.72,high,Stock_Price,Microsoft
,,0,2015-06-22T16:00:00Z,46.23,close,Stock_Price,Microsoft
,,0,2015-06-22T16:00:00Z,46.16,low,Stock_Price,Microsoft
,,0,2015-06-23T16:00:00Z,25896473.0,volume,Stock_Price,Microsoft
,,0,2015-06-23T16:00:00Z,45.91,close,Stock_Price,Microsoft
,,0,2015-06-23T16:00:00Z,46.13,open,Stock_Price,Microsoft
,,0,2015-06-23T16:00:00Z,46.28,high,Stock_Price,Microsoft
,,0,2015-06-23T16:00:00Z,45.62,low,Stock_Price,Microsoft
,,0,2015-06-24T16:00:00Z,45.55,low,Stock_Price,Microsoft
,,0,2015-06-24T16:00:00Z,34890901.0,volume,Stock_Price,Microsoft
,,0,2015-06-24T16:00:00Z,45.64,close,Stock_Price,Microsoft
,,0,2015-06-24T16:00:00Z,45.68,open,Stock_Price,Microsoft
,,0,2015-06-24T16:00:00Z,46.25,high,Stock_Price,Microsoft
,,0,2015-06-25T16:00:00Z,46.06,high,Stock_Price,Microsoft
,,0,2015-06-25T16:00:00Z,45.65,close,Stock_Price,Microsoft
,,0,2015-06-25T16:00:00Z,20615995.0,volume,Stock_Price,Microsoft
,,0,2015-06-25T16:00:00Z,45.5,low,Stock_Price,Microsoft
,,0,2015-06-25T16:00:00Z,46.03,open,Stock_Price,Microsoft
,,0,2015-06-26T16:00:00Z,45.65,open,Stock_Price,Microsoft
,,0,2015-06-26T16:00:00Z,49835287.0,volume,Stock_Price,Microsoft
,,0,2015-06-26T16:00:00Z,46.28,high,Stock_Price,Microsoft
,,0,2015-06-26T16:00:00Z,45.03,low,Stock_Price,Microsoft
,,0,2015-06-26T16:00:00Z,45.26,close,Stock_Price,Microsoft
,,0,2015-06-29T16:00:00Z,45.04,open,Stock_Price,Microsoft
,,0,2015-06-29T16:00:00Z,45.23,high,Stock_Price,Microsoft
,,0,2015-06-29T16:00:00Z,34081746.0,volume,Stock_Price,Microsoft
,,0,2015-06-29T16:00:00Z,44.37,close,Stock_Price,Microsoft
,,0,2015-06-29T16:00:00Z,44.36,low,Stock_Price,Microsoft
,,0,2015-06-30T16:00:00Z,44.15,close,Stock_Price,Microsoft
,,0,2015-06-30T16:00:00Z,44.71,open,Stock_Price,Microsoft
,,0,2015-06-30T16:00:00Z,44.72,high,Stock_Price,Microsoft
,,0,2015-06-30T16:00:00Z,35945384.0,volume,Stock_Price,Microsoft
,,0,2015-06-30T16:00:00Z,43.94,low,Stock_Price,Microsoft
,,0,2015-07-01T16:00:00Z,44.45,close,Stock_Price,Microsoft
,,0,2015-07-01T16:00:00Z,45.23,high,Stock_Price,Microsoft
,,0,2015-07-01T16:00:00Z,44.1,low,Stock_Price,Microsoft
,,0,2015-07-01T16:00:00Z,28343907.0,volume,Stock_Price,Microsoft
,,0,2015-07-01T16:00:00Z,44.49,open,Stock_Price,Microsoft
,,0,2015-07-02T16:00:00Z,21752013.0,volume,Stock_Price,Microsoft
,,0,2015-07-02T16:00:00Z,44.4,close,Stock_Price,Microsoft
,,0,2015-07-02T16:00:00Z,44.75,high,Stock_Price,Microsoft
,,0,2015-07-02T16:00:00Z,44.06,low,Stock_Price,Microsoft
,,0,2015-07-02T16:00:00Z,44.48,open,Stock_Price,Microsoft
,,0,2015-07-06T16:00:00Z,43.95,low,Stock_Price,Microsoft
,,0,2015-07-06T16:00:00Z,23033961.0,volume,Stock_Price,Microsoft
,,0,2015-07-06T16:00:00Z,44.48,high,Stock_Price,Microsoft
,,0,2015-07-06T16:00:00Z,44.39,close,Stock_Price,Microsoft
,,0,2015-07-06T16:00:00Z,43.96,open,Stock_Price,Microsoft
,,0,2015-07-07T16:00:00Z,43.32,low,Stock_Price,Microsoft
,,0,2015-07-07T16:00:00Z,44.34,open,Stock_Price,Microsoft
,,0,2015-07-07T16:00:00Z,36435827.0,volume,Stock_Price,Microsoft
,,0,2015-07-07T16:00:00Z,44.3,close,Stock_Price,Microsoft
,,0,2015-07-07T16:00:00Z,44.49,high,Stock_Price,Microsoft
,,0,2015-07-08T16:00:00Z,39785901.0,volume,Stock_Price,Microsoft
,,0,2015-07-08T16:00:00Z,44.9,high,Stock_Price,Microsoft
,,0,2015-07-08T16:00:00Z,44.24,close,Stock_Price,Microsoft
,,0,2015-07-08T16:00:00Z,44.44,open,Stock_Price,Microsoft
,,0,2015-07-08T16:00:00Z,44.03,low,Stock_Price,Microsoft
,,0,2015-07-09T16:00:00Z,44.5,low,Stock_Price,Microsoft
,,0,2015-07-09T16:00:00Z,44.52,close,Stock_Price,Microsoft
,,0,2015-07-09T16:00:00Z,32424672.0,volume,Stock_Price,Microsoft
,,0,2015-07-09T16:00:00Z,44.75,open,Stock_Price,Microsoft
,,0,2015-07-09T16:00:00Z,45.22,high,Stock_Price,Microsoft
,,0,2015-07-10T16:00:00Z,25465757.0,volume,Stock_Price,Microsoft
,,0,2015-07-10T16:00:00Z,44.57,low,Stock_Price,Microsoft
,,0,2015-07-10T16:00:00Z,45.01,open,Stock_Price,Microsoft
,,0,2015-07-10T16:00:00Z,45.14,high,Stock_Price,Microsoft
,,0,2015-07-10T16:00:00Z,44.61,close,Stock_Price,Microsoft
,,0,2015-07-13T16:00:00Z,44.98,open,Stock_Price,Microsoft
,,0,2015-07-13T16:00:00Z,45.62,high,Stock_Price,Microsoft
,,0,2015-07-13T16:00:00Z,44.95,low,Stock_Price,Microsoft
,,0,2015-07-13T16:00:00Z,28178329.0,volume,Stock_Price,Microsoft
,,0,2015-07-13T16:00:00Z,45.54,close,Stock_Price,Microsoft
,,0,2015-07-14T16:00:00Z,45.62,close,Stock_Price,Microsoft
,,0,2015-07-14T16:00:00Z,45.96,high,Stock_Price,Microsoft
,,0,2015-07-14T16:00:00Z,45.45,open,Stock_Price,Microsoft
